question,answer,image_id
Are regions of the brain infarcted?,Yes,synpic54610.jpg
Are the lungs normal appearing?,No,synpic29265.jpg
Is there evidence of a pneumothorax,No,synpic29265.jpg
What type of imaging does this not represent?,ultrasound,synpic28602.jpg
Is this a MRI of the chest?,no,synpic29265.jpg
What is not pictured in this image?,The extremities,synpic28602.jpg
Is the trachea midline?,yes,synpic28602.jpg
Is there evidence of an aortic aneurysm?,No,synpic28602.jpg
Where is the abnormality?,left temporal lobe,synpic39460.jpg
Is there blunting of the costovertebral angles?,No,synpic28602.jpg
Which organ system is abnormal in this image?,Cardiovascular,synpic42202.jpg
Where is the pathology in this image?,vasculature,synpic54610.jpg
Is there a pneumothorax?,no,synpic42202.jpg
What type of imaging is this?,MRI Diffusion Weighted,synpic54610.jpg
What organ system is pictured?,the brain,synpic54610.jpg
Is there a fracture?,no,synpic29265.jpg
Is there swelling of the grey matter?,yes,synpic39460.jpg
Is this an anterior posterior image?,no,synpic28602.jpg
Is this the brain?,yes,synpic39460.jpg
Is there air under the diaphragm?,No,synpic29265.jpg
What type of image is this?,Chest X-ray,synpic42202.jpg
Is this a CT image?,no,synpic39460.jpg
Is this an anterior-posterior image,no,synpic42202.jpg
In what plane is this image oriented?,Axial,synpic39460.jpg
Is there a skull fracture pictured?,No,synpic39460.jpg
Are there >12 of ribs? ,Yes,synpic21776.jpg
Is/Are the lungs normal size?,Yes,synpic21776.jpg
Is/Are there a rib fracture?,No,synpic25821.jpg
Is/Are there fracturing in the patient's ribs?,No,synpic25821.jpg
Is/Are the lung parenchyma abnormal?,No,synpic25821.jpg
Is/Are the lung parenchyma abnormal?,No,synpic25821.jpg
was the arterial contrast phase selected?,yes,synpic26158.jpg
does this plane of section include the gastric cardia?,yes,synpic26158.jpg
Is/Are there thickening in the patient's small bowel wall?,Yes,synpic34515.jpg
was this taken with good x ray penetration,yes,synpic21776.jpg
Are the common ileac arteries and veins patent in this section?,Yes,synpic34713.jpg
Is/Are there patency in the patient's common iliac arteries and veins?,Yes,synpic34713.jpg
Are the common iliac vasculature open?,Yes,synpic34713.jpg
Is/Are there patency in the patient's common iliac vasculature?,Yes,synpic34713.jpg
Is the spleen normal size?,Yes,synpic19605.jpg
Is/Are the spleen normal size?,Yes,synpic19605.jpg
Is the size of the spleen normal?,Yes,synpic19605.jpg
Is/Are the spleen normal size?,Yes,synpic19605.jpg
Are there air fluid levels present in the small bowel?,yes,synpic39086.jpg
Is/Are there air fluid levels in the patient's small bowel?,yes,synpic39086.jpg
